input_text,output_text
<Apple tasting model enhances online learning> has one hop connections with:  <Apple tasting model enhances online learning> also has two hop connection with: Which category should <Apple tasting model enhances online learning> be classified as?,Theory
<Concept learning challenges with small data> has one hop connections with:  <Concept learning challenges with small data> also has two hop connection with: Which category should <Concept learning challenges with small data> be classified as?,Rule_Learning
<Reevaluating tree models for sequence alignment> has one hop connections with:  <Reevaluating tree models for sequence alignment> also has two hop connection with: Which category should <Reevaluating tree models for sequence alignment> be classified as?,Neural_Networks
<Boolean network algorithms for image recognition> has one hop connections with:  <Boolean network algorithms for image recognition> also has two hop connection with: Which category should <Boolean network algorithms for image recognition> be classified as?,Theory
<Debate on learned behavior's impact on evolution> has one hop connections with:  <Debate on learned behavior's impact on evolution> also has two hop connection with: Which category should <Debate on learned behavior's impact on evolution> be classified as?,Genetic_Algorithms
<Memory formation in hippocampal system through encoding> has one hop connections with:  <Memory formation in hippocampal system through encoding> also has two hop connection with: Which category should <Memory formation in hippocampal system through encoding> be classified as?,Neural_Networks
<Automatic storage and indexing for plan failures> has one hop connections with:  <Automatic storage and indexing for plan failures> also has two hop connection with: Which category should <Automatic storage and indexing for plan failures> be classified as?,Case_Based
<Parsing genes using constraint-based approach> has one hop connections with:  <Parsing genes using constraint-based approach> also has two hop connection with: Which category should <Parsing genes using constraint-based approach> be classified as?,Neural_Networks
<Globally convergent algorithm for monotone equations> has one hop connections with:  <Globally convergent algorithm for monotone equations> also has two hop connection with: Which category should <Globally convergent algorithm for monotone equations> be classified as?,Neural_Networks
<Regulating compile-time speculation for code performance> has one hop connections with:  <Regulating compile-time speculation for code performance> also has two hop connection with: Which category should <Regulating compile-time speculation for code performance> be classified as?,Rule_Learning
<Diffuse liver disease classification using echography> has one hop connections with:  <Diffuse liver disease classification using echography> also has two hop connection with: Which category should <Diffuse liver disease classification using echography> be classified as?,Neural_Networks
<Feature selection using probabilistic estimates for algorithms> has one hop connections with:  <Feature selection using probabilistic estimates for algorithms> also has two hop connection with: Which category should <Feature selection using probabilistic estimates for algorithms> be classified as?,Theory
<Investigating convergence of EM and Gibbs> has one hop connections with:  <Investigating convergence of EM and Gibbs> also has two hop connection with: Which category should <Investigating convergence of EM and Gibbs> be classified as?,Probabilistic_Methods
<Efficient extension for prediction and decision trees> has one hop connections with:  <Efficient extension for prediction and decision trees> also has two hop connection with: Which category should <Efficient extension for prediction and decision trees> be classified as?,Theory
<Customized first-order learning for efficient relations> has one hop connections with:  <Customized first-order learning for efficient relations> also has two hop connection with: Which category should <Customized first-order learning for efficient relations> be classified as?,Rule_Learning
<Training Boltzmann trees effectively for tasks> has one hop connections with:  <Training Boltzmann trees effectively for tasks> also has two hop connection with: Which category should <Training Boltzmann trees effectively for tasks> be classified as?,Neural_Networks
<Study new framework for Markov decision processes> has one hop connections with:  <Study new framework for Markov decision processes> also has two hop connection with: Which category should <Study new framework for Markov decision processes> be classified as?,Reinforcement_Learning
<Statistical theory on overtraining and cross-validation> has one hop connections with:  <Statistical theory on overtraining and cross-validation> also has two hop connection with: Which category should <Statistical theory on overtraining and cross-validation> be classified as?,Neural_Networks
<Filter functions and Genetic Programming for gameplay> has one hop connections with:  <Filter functions and Genetic Programming for gameplay> also has two hop connection with: Which category should <Filter functions and Genetic Programming for gameplay> be classified as?,Genetic_Algorithms
<Learning harmonic progression with Markov models> has one hop connections with:  <Learning harmonic progression with Markov models> also has two hop connection with: Which category should <Learning harmonic progression with Markov models> be classified as?,Theory
<Analyzing musical sound with forward models> has one hop connections with:  <Analyzing musical sound with forward models> also has two hop connection with: Which category should <Analyzing musical sound with forward models> be classified as?,Neural_Networks
<Statistical learning and regularization for regression> has one hop connections with:  <Statistical learning and regularization for regression> also has two hop connection with: Which category should <Statistical learning and regularization for regression> be classified as?,Neural_Networks
<Disk-Covering Method enhances tree reconstruction accuracy> has one hop connections with:  <Disk-Covering Method enhances tree reconstruction accuracy> also has two hop connection with: Which category should <Disk-Covering Method enhances tree reconstruction accuracy> be classified as?,Theory
<Hybrid learning approach with genetic algorithms> has one hop connections with:  <Hybrid learning approach with genetic algorithms> also has two hop connection with: Which category should <Hybrid learning approach with genetic algorithms> be classified as?,Genetic_Algorithms
<Evolving visual routines in architecture and planning> has one hop connections with:  <Evolving visual routines in architecture and planning> also has two hop connection with: Which category should <Evolving visual routines in architecture and planning> be classified as?,Genetic_Algorithms
<Optimizing strategies in uncertain pursuit scenarios> has one hop connections with:  <Optimizing strategies in uncertain pursuit scenarios> also has two hop connection with: Which category should <Optimizing strategies in uncertain pursuit scenarios> be classified as?,Genetic_Algorithms
<Redesign problem-solving methods through knowledge-level examination> has one hop connections with:  <Redesign problem-solving methods through knowledge-level examination> also has two hop connection with: Which category should <Redesign problem-solving methods through knowledge-level examination> be classified as?,Case_Based
<Neural network reconstructs invariant mass accurately> has one hop connections with:  <Neural network reconstructs invariant mass accurately> also has two hop connection with: Which category should <Neural network reconstructs invariant mass accurately> be classified as?,Neural_Networks
<Tenor saxophone performance generation using cases> has one hop connections with:  <Tenor saxophone performance generation using cases> also has two hop connection with: Which category should <Tenor saxophone performance generation using cases> be classified as?,Case_Based
<Efficient visual search using attention mechanism> has one hop connections with:  <Efficient visual search using attention mechanism> also has two hop connection with: Which category should <Efficient visual search using attention mechanism> be classified as?,Neural_Networks
<Study on autonomous homing behavior in robots> has one hop connections with:  <Study on autonomous homing behavior in robots> also has two hop connection with: Which category should <Study on autonomous homing behavior in robots> be classified as?,Genetic_Algorithms
<Majority vote classifiers theory and applications> has one hop connections with:  <Majority vote classifiers theory and applications> also has two hop connection with: Which category should <Majority vote classifiers theory and applications> be classified as?,Theory
<Decision table evaluation for supervised learning> has one hop connections with:  <Decision table evaluation for supervised learning> also has two hop connection with: Which category should <Decision table evaluation for supervised learning> be classified as?,Theory
<Optimal feature selection without exhaustive search> has one hop connections with:  <Optimal feature selection without exhaustive search> also has two hop connection with: Which category should <Optimal feature selection without exhaustive search> be classified as?,Neural_Networks
<Efficient natural gradient descent for NNs> has one hop connections with:  <Efficient natural gradient descent for NNs> also has two hop connection with: Which category should <Efficient natural gradient descent for NNs> be classified as?,Neural_Networks
<Performance comparison of two classification algorithms> has one hop connections with:  <Performance comparison of two classification algorithms> also has two hop connection with: Which category should <Performance comparison of two classification algorithms> be classified as?,Case_Based
<Diffusion limit for growing binary trees> has one hop connections with:  <Diffusion limit for growing binary trees> also has two hop connection with: Which category should <Diffusion limit for growing binary trees> be classified as?,Neural_Networks
<Bayesian inference using Markov chains> has one hop connections with:  <Bayesian inference using Markov chains> also has two hop connection with: Which category should <Bayesian inference using Markov chains> be classified as?,Probabilistic_Methods
<Analogical reasoning in automated theorem proving> has one hop connections with:  <Analogical reasoning in automated theorem proving> also has two hop connection with: Which category should <Analogical reasoning in automated theorem proving> be classified as?,Case_Based
<Importance of knowledge in inductive learning> has one hop connections with:  <Importance of knowledge in inductive learning> also has two hop connection with: Which category should <Importance of knowledge in inductive learning> be classified as?,Case_Based
<Object-oriented simulator for connectionist nets> has one hop connections with:  <Object-oriented simulator for connectionist nets> also has two hop connection with: Which category should <Object-oriented simulator for connectionist nets> be classified as?,Neural_Networks
<Logic and probabilities for qualitative reasoning> has one hop connections with:  <Logic and probabilities for qualitative reasoning> also has two hop connection with: Which category should <Logic and probabilities for qualitative reasoning> be classified as?,Probabilistic_Methods
<Enhancing XCS with internal memory> has one hop connections with:  <Enhancing XCS with internal memory> also has two hop connection with: Which category should <Enhancing XCS with internal memory> be classified as?,Reinforcement_Learning
<Method enhances DMP network performance> has one hop connections with:  <Method enhances DMP network performance> also has two hop connection with: Which category should <Method enhances DMP network performance> be classified as?,Neural_Networks
<Receding horizon control for robust performance> has one hop connections with:  <Receding horizon control for robust performance> also has two hop connection with: Which category should <Receding horizon control for robust performance> be classified as?,Reinforcement_Learning
<Evolving autonomous robot through simulated evolution> has one hop connections with:  <Evolving autonomous robot through simulated evolution> also has two hop connection with: Which category should <Evolving autonomous robot through simulated evolution> be classified as?,Genetic_Algorithms
<Reject incorrect answers in neural network> has one hop connections with:  <Reject incorrect answers in neural network> also has two hop connection with: Which category should <Reject incorrect answers in neural network> be classified as?,Neural_Networks
<Study of genetics using computational approach> has one hop connections with:  <Study of genetics using computational approach> also has two hop connection with: Which category should <Study of genetics using computational approach> be classified as?,Genetic_Algorithms
<Weight optimization algorithm using schemata search> has one hop connections with:  <Weight optimization algorithm using schemata search> also has two hop connection with: Which category should <Weight optimization algorithm using schemata search> be classified as?,Neural_Networks
<Hierarchical EBRL for optimal policy learning> has one hop connections with:  <Hierarchical EBRL for optimal policy learning> also has two hop connection with: Which category should <Hierarchical EBRL for optimal policy learning> be classified as?,Reinforcement_Learning
<Function decomposition for concept hierarchy in ML> has one hop connections with:  <Function decomposition for concept hierarchy in ML> also has two hop connection with: Which category should <Function decomposition for concept hierarchy in ML> be classified as?,Theory
<Justifying incremental and sparse EM algorithm variants> has one hop connections with:  <Justifying incremental and sparse EM algorithm variants> also has two hop connection with: Which category should <Justifying incremental and sparse EM algorithm variants> be classified as?,Probabilistic_Methods
<Genetic algorithms' effectiveness in finding cliques> has one hop connections with:  <Genetic algorithms' effectiveness in finding cliques> also has two hop connection with: Which category should <Genetic algorithms' effectiveness in finding cliques> be classified as?,Genetic_Algorithms
<Algorithmic probability discovery> has one hop connections with:  <Algorithmic probability discovery> also has two hop connection with: Which category should <Algorithmic probability discovery> be classified as?,Theory
<Ensemble training for classification with zip data> has one hop connections with:  <Ensemble training for classification with zip data> also has two hop connection with: Which category should <Ensemble training for classification with zip data> be classified as?,Neural_Networks
<C++ machine learning library for experts> has one hop connections with:  <C++ machine learning library for experts> also has two hop connection with: Which category should <C++ machine learning library for experts> be classified as?,Theory
<Enhancing genetic learning with knowledge-based operators> has one hop connections with:  <Enhancing genetic learning with knowledge-based operators> also has two hop connection with: Which category should <Enhancing genetic learning with knowledge-based operators> be classified as?,Genetic_Algorithms
<Accurate relational learning with knowledge-intensive methods> has one hop connections with:  <Accurate relational learning with knowledge-intensive methods> also has two hop connection with: Which category should <Accurate relational learning with knowledge-intensive methods> be classified as?,Rule_Learning
<Enhancing learned rules with new techniques> has one hop connections with:  <Enhancing learned rules with new techniques> also has two hop connection with: Which category should <Enhancing learned rules with new techniques> be classified as?,Case_Based
<Predicting binary sequences using advanced algorithms> has one hop connections with:  <Predicting binary sequences using advanced algorithms> also has two hop connection with: Which category should <Predicting binary sequences using advanced algorithms> be classified as?,Theory
<Efficient control rule selection for learning> has one hop connections with:  <Efficient control rule selection for learning> also has two hop connection with: Which category should <Efficient control rule selection for learning> be classified as?,Case_Based
<Bayesian feature induction for temporal classification> has one hop connections with:  <Bayesian feature induction for temporal classification> also has two hop connection with: Which category should <Bayesian feature induction for temporal classification> be classified as?,Theory
<Perfect simulation using Gibbs and sandwiching methods> has one hop connections with:  <Perfect simulation using Gibbs and sandwiching methods> also has two hop connection with: Which category should <Perfect simulation using Gibbs and sandwiching methods> be classified as?,Probabilistic_Methods
<Learning algorithm for rule-based concept representations> has one hop connections with:  <Learning algorithm for rule-based concept representations> also has two hop connection with: Which category should <Learning algorithm for rule-based concept representations> be classified as?,Theory
<Improved accuracy through oblique decision trees> has one hop connections with:  <Improved accuracy through oblique decision trees> also has two hop connection with: Which category should <Improved accuracy through oblique decision trees> be classified as?,Theory
<Evolving collaborative species for parallel evolution> has one hop connections with:  <Evolving collaborative species for parallel evolution> also has two hop connection with: Which category should <Evolving collaborative species for parallel evolution> be classified as?,Genetic_Algorithms
<Evaluation of feature weighting methods for lazy learning> has one hop connections with:  <Evaluation of feature weighting methods for lazy learning> also has two hop connection with: Which category should <Evaluation of feature weighting methods for lazy learning> be classified as?,Case_Based
<Complementarity of rules and precedents> has one hop connections with:  <Complementarity of rules and precedents> also has two hop connection with: Which category should <Complementarity of rules and precedents> be classified as?,Case_Based
<Self-adaptive neural networks for blind signal separation> has one hop connections with:  <Self-adaptive neural networks for blind signal separation> also has two hop connection with: Which category should <Self-adaptive neural networks for blind signal separation> be classified as?,Neural_Networks
<Face analysis and synthesis using networks> has one hop connections with:  <Face analysis and synthesis using networks> also has two hop connection with: Which category should <Face analysis and synthesis using networks> be classified as?,Neural_Networks
<Efficient machine operation duration analysis> has one hop connections with:  <Efficient machine operation duration analysis> also has two hop connection with: Which category should <Efficient machine operation duration analysis> be classified as?,Genetic_Algorithms
<Adaptive training system for personalized chemistry tutoring> has one hop connections with:  <Adaptive training system for personalized chemistry tutoring> also has two hop connection with: Which category should <Adaptive training system for personalized chemistry tutoring> be classified as?,Case_Based
<Enhanced genetic algorithm for optimization efficiency> has one hop connections with:  <Enhanced genetic algorithm for optimization efficiency> also has two hop connection with: Which category should <Enhanced genetic algorithm for optimization efficiency> be classified as?,Genetic_Algorithms
<Modeling stochastic volatility of financial markets> has one hop connections with:  <Modeling stochastic volatility of financial markets> also has two hop connection with: Which category should <Modeling stochastic volatility of financial markets> be classified as?,Neural_Networks
<Genetic algorithm system for prototype learning> has one hop connections with:  <Genetic algorithm system for prototype learning> also has two hop connection with: Which category should <Genetic algorithm system for prototype learning> be classified as?,Genetic_Algorithms
<Sampling method for multimodal distributions> has one hop connections with:  <Sampling method for multimodal distributions> also has two hop connection with: Which category should <Sampling method for multimodal distributions> be classified as?,Probabilistic_Methods
<Error estimation methods for neural network models> has one hop connections with:  <Error estimation methods for neural network models> also has two hop connection with: Which category should <Error estimation methods for neural network models> be classified as?,Neural_Networks
<Bias-variance decomposition in classification learning> has one hop connections with:  <Bias-variance decomposition in classification learning> also has two hop connection with: Which category should <Bias-variance decomposition in classification learning> be classified as?,Theory
<Efficient coding and coincidence detection in neurons> has one hop connections with:  <Efficient coding and coincidence detection in neurons> also has two hop connection with: Which category should <Efficient coding and coincidence detection in neurons> be classified as?,Neural_Networks
<Testing exogeneity of instrumental variables in econometrics> has one hop connections with:  <Testing exogeneity of instrumental variables in econometrics> also has two hop connection with: Which category should <Testing exogeneity of instrumental variables in econometrics> be classified as?,Probabilistic_Methods
<Stochastic search method for inductive learning> has one hop connections with:  <Stochastic search method for inductive learning> also has two hop connection with: Which category should <Stochastic search method for inductive learning> be classified as?,Rule_Learning
<Learning complexity bounds in statistical models> has one hop connections with:  <Learning complexity bounds in statistical models> also has two hop connection with: Which category should <Learning complexity bounds in statistical models> be classified as?,Theory
<Design exploration system reference manual and guide> has one hop connections with:  <Design exploration system reference manual and guide> also has two hop connection with: Which category should <Design exploration system reference manual and guide> be classified as?,Genetic_Algorithms
<Variational Gaussian Process Classifiers for classification> has one hop connections with:  <Variational Gaussian Process Classifiers for classification> also has two hop connection with: Which category should <Variational Gaussian Process Classifiers for classification> be classified as?,Neural_Networks
<Induction with prior knowledge using FLARE> has one hop connections with:  <Induction with prior knowledge using FLARE> also has two hop connection with: Which category should <Induction with prior knowledge using FLARE> be classified as?,Case_Based
<Hierarchical control learning in changing environments> has one hop connections with:  <Hierarchical control learning in changing environments> also has two hop connection with: Which category should <Hierarchical control learning in changing environments> be classified as?,Reinforcement_Learning
<Inductive machine learning for customer support> has one hop connections with:  <Inductive machine learning for customer support> also has two hop connection with: Which category should <Inductive machine learning for customer support> be classified as?,Case_Based
<Overview of selection schemes in evolutionary algorithms> has one hop connections with:  <Overview of selection schemes in evolutionary algorithms> also has two hop connection with: Which category should <Overview of selection schemes in evolutionary algorithms> be classified as?,Genetic_Algorithms
<Speeding up rule induction with partitioning> has one hop connections with:  <Speeding up rule induction with partitioning> also has two hop connection with: Which category should <Speeding up rule induction with partitioning> be classified as?,Case_Based
<Canonical Distortion Measure for Vector Quantization> has one hop connections with:  <Canonical Distortion Measure for Vector Quantization> also has two hop connection with: Which category should <Canonical Distortion Measure for Vector Quantization> be classified as?,Neural_Networks
<Evolution of communication schemes in multi-agent systems> has one hop connections with:  <Evolution of communication schemes in multi-agent systems> also has two hop connection with: Which category should <Evolution of communication schemes in multi-agent systems> be classified as?,Genetic_Algorithms
<Impact of noise on small disjuncts learning> has one hop connections with:  <Impact of noise on small disjuncts learning> also has two hop connection with: Which category should <Impact of noise on small disjuncts learning> be classified as?,Theory
<Study on Minimum Feature Set Problem> has one hop connections with:  <Study on Minimum Feature Set Problem> also has two hop connection with: Which category should <Study on Minimum Feature Set Problem> be classified as?,Theory
<Minimax Bayes method for signal estimation> has one hop connections with:  <Minimax Bayes method for signal estimation> also has two hop connection with: Which category should <Minimax Bayes method for signal estimation> be classified as?,Probabilistic_Methods
<Neural network benchmark problems for evaluation> has one hop connections with:  <Neural network benchmark problems for evaluation> also has two hop connection with: Which category should <Neural network benchmark problems for evaluation> be classified as?,Neural_Networks
<Active learning for multilayer perceptrons with reduction> has one hop connections with:  <Active learning for multilayer perceptrons with reduction> also has two hop connection with: Which category should <Active learning for multilayer perceptrons with reduction> be classified as?,Neural_Networks
<Interactive system for design optimization strategies> has one hop connections with:  <Interactive system for design optimization strategies> also has two hop connection with: Which category should <Interactive system for design optimization strategies> be classified as?,Genetic_Algorithms
"<Genetic programming methodology, parallelization, applications> has one hop connections with:  <Genetic programming methodology, parallelization, applications> also has two hop connection with: Which category should <Genetic programming methodology, parallelization, applications> be classified as?",Genetic_Algorithms
<Multistrategy learning in complex engineering domains> has one hop connections with:  <Multistrategy learning in complex engineering domains> also has two hop connection with: Which category should <Multistrategy learning in complex engineering domains> be classified as?,Case_Based
<Complexity analysis of conditional logics in AI> has one hop connections with:  <Complexity analysis of conditional logics in AI> also has two hop connection with: Which category should <Complexity analysis of conditional logics in AI> be classified as?,Probabilistic_Methods
<Time series model with decision tree> has one hop connections with:  <Time series model with decision tree> also has two hop connection with: Which category should <Time series model with decision tree> be classified as?,Probabilistic_Methods
<Self-generating teaching input for efficient learning> has one hop connections with:  <Self-generating teaching input for efficient learning> also has two hop connection with: Which category should <Self-generating teaching input for efficient learning> be classified as?,Genetic_Algorithms
<Local error bars in nonlinear regression> has one hop connections with:  <Local error bars in nonlinear regression> also has two hop connection with: Which category should <Local error bars in nonlinear regression> be classified as?,Neural_Networks
<Learning temporal structure with multiscale hidden units> has one hop connections with:  <Learning temporal structure with multiscale hidden units> also has two hop connection with: Which category should <Learning temporal structure with multiscale hidden units> be classified as?,Neural_Networks
<Query complexity in exact learning with polynomials> has one hop connections with:  <Query complexity in exact learning with polynomials> also has two hop connection with: Which category should <Query complexity in exact learning with polynomials> be classified as?,Theory
<Plan recognition for traffic monitoring with context> has one hop connections with:  <Plan recognition for traffic monitoring with context> also has two hop connection with: Which category should <Plan recognition for traffic monitoring with context> be classified as?,Probabilistic_Methods
<Learning high utility rules with guidance> has one hop connections with:  <Learning high utility rules with guidance> also has two hop connection with: Which category should <Learning high utility rules with guidance> be classified as?,Case_Based
<Automating specification refinement through genetic programming> has one hop connections with:  <Automating specification refinement through genetic programming> also has two hop connection with: Which category should <Automating specification refinement through genetic programming> be classified as?,Genetic_Algorithms
<Improving efficiency and accuracy of logic programs> has one hop connections with:  <Improving efficiency and accuracy of logic programs> also has two hop connection with: Which category should <Improving efficiency and accuracy of logic programs> be classified as?,Rule_Learning
<PAC learning intersections of halfspaces> has one hop connections with:  <PAC learning intersections of halfspaces> also has two hop connection with: Which category should <PAC learning intersections of halfspaces> be classified as?,Theory
<Learning SRIN structure with modified RNNs> has one hop connections with:  <Learning SRIN structure with modified RNNs> also has two hop connection with: Which category should <Learning SRIN structure with modified RNNs> be classified as?,Neural_Networks
<Counter example to binary tree hypothesis> has one hop connections with:  <Counter example to binary tree hypothesis> also has two hop connection with: Which category should <Counter example to binary tree hypothesis> be classified as?,Rule_Learning
<Prior concepts enhance inductive learning algorithms> has one hop connections with:  <Prior concepts enhance inductive learning algorithms> also has two hop connection with: Which category should <Prior concepts enhance inductive learning algorithms> be classified as?,Theory
<Belief change in dynamic systems modeling> has one hop connections with:  <Belief change in dynamic systems modeling> also has two hop connection with: Which category should <Belief change in dynamic systems modeling> be classified as?,Probabilistic_Methods
<Program evolution and optimization through control structures> has one hop connections with:  <Program evolution and optimization through control structures> also has two hop connection with: Which category should <Program evolution and optimization through control structures> be classified as?,Genetic_Algorithms
<Spatial attention modeling in computational neuroscience> has one hop connections with:  <Spatial attention modeling in computational neuroscience> also has two hop connection with: Which category should <Spatial attention modeling in computational neuroscience> be classified as?,Neural_Networks
<Study effects of drugs on brain plasticity> has one hop connections with:  <Study effects of drugs on brain plasticity> also has two hop connection with: Which category should <Study effects of drugs on brain plasticity> be classified as?,Neural_Networks
<SVM and RKHS overview for classification> has one hop connections with:  <SVM and RKHS overview for classification> also has two hop connection with: Which category should <SVM and RKHS overview for classification> be classified as?,Neural_Networks
<Learning and evolution in neural networks> has one hop connections with:  <Learning and evolution in neural networks> also has two hop connection with: Which category should <Learning and evolution in neural networks> be classified as?,Genetic_Algorithms
<Enhancements for practicality and performance in Fourier transform> has one hop connections with:  <Enhancements for practicality and performance in Fourier transform> also has two hop connection with: Which category should <Enhancements for practicality and performance in Fourier transform> be classified as?,Theory
<Facial emotion recognition with categorical perception> has one hop connections with:  <Facial emotion recognition with categorical perception> also has two hop connection with: Which category should <Facial emotion recognition with categorical perception> be classified as?,Neural_Networks
<Research on AI and knowledge-based systems> has one hop connections with:  <Research on AI and knowledge-based systems> also has two hop connection with: Which category should <Research on AI and knowledge-based systems> be classified as?,Probabilistic_Methods
<Extracts feature detectors from images> has one hop connections with:  <Extracts feature detectors from images> also has two hop connection with: Which category should <Extracts feature detectors from images> be classified as?,Neural_Networks
<Protein sequence classification based on similarity> has one hop connections with:  <Protein sequence classification based on similarity> also has two hop connection with: Which category should <Protein sequence classification based on similarity> be classified as?,Neural_Networks
<Neural network algorithms for learning efficiency> has one hop connections with:  <Neural network algorithms for learning efficiency> also has two hop connection with: Which category should <Neural network algorithms for learning efficiency> be classified as?,Neural_Networks
<Evolutionary algorithms study with problem generators> has one hop connections with:  <Evolutionary algorithms study with problem generators> also has two hop connection with: Which category should <Evolutionary algorithms study with problem generators> be classified as?,Genetic_Algorithms
<Genetic algorithms for vertex splitting in DAGs> has one hop connections with:  <Genetic algorithms for vertex splitting in DAGs> also has two hop connection with: Which category should <Genetic algorithms for vertex splitting in DAGs> be classified as?,Genetic_Algorithms
