paper_id1,paper_id2
642,1552
1317,1552
2353,1552
2697,1552
3104,1552
2226,1552
789,1552
2629,1552
70,1552
1818,1552
2527,1552
263,16
2676,16
2446,16
2034,1063
205,3070
905,3070
2976,3070
1310,115
2546,175
1792,2761
2907,2761
2876,3024
655,3024
1672,3024
3141,3024
1438,2878
227,2878
2581,2878
1318,1575
886,1575
1771,1575
2120,1575
565,2320
1884,2320
1109,2320
2424,570
30,668
1593,2726
2318,2361
143,2361
2077,2361
2242,2479
2787,154
1253,1174
1718,1126
988,1126
3136,251
864,962
287,962
1630,962
1246,962
1573,962
2295,2784
424,2314
2359,2314
2551,2204
1628,2146
2416,2845
2559,2845
387,246
1192,1458
441,1458
2022,2435
1153,2435
2095,2435
317,2564
2915,617
1584,1793
2185,1793
2009,1793
1141,1793
2531,2515
2249,1618
2313,1618
2514,1618
1498,1618
3103,1618
3169,1618
555,2327
2036,2327
1886,144
2125,144
101,205
912,205
328,2085
233,549
1101,653
869,653
2887,785
3105,1560
2485,1560
2258,814
700,1673
228,54
2488,54
72,54
2271,54
331,54
292,54
125,54
2658,932
1200,131
1255,131
869,131
10,1655
2300,2096
1478,2096
2631,2096
1958,2096
653,1101
869,1101
2742,3005
930,475
2149,475
3062,475
923,475
2252,67
1430,67
2216,2782
3096,468
2570,468
2166,468
2996,468
1261,468
618,468
1757,468
2365,468
877,2632
731,2632
2232,2632
1660,2632
3141,2632
2245,1068
2723,1068
2837,1068
331,1068
869,1068
1024,1068
2162,2812
1675,2812
2024,2869
1277,896
2052,896
995,225
999,225
1452,222
535,222
333,222
1437,1239
1383,1239
2046,1915
1808,1915
328,448
305,2389
63,2389
1728,2389
2861,3102
1192,2307
2196,498
899,1766
420,1706
844,1706
999,90
2844,2596
1183,2746
1777,2746
1318,1228
3141,1228
1608,1746
1567,1746
2878,1438
227,1438
2581,1438
600,881
2314,2408
1181,677
2612,8
1669,2481
439,2796
370,2796
2304,2392
1529,2392
2867,2392
1690,2392
1432,2392
885,2392
2532,2392
1999,2392
1680,1346
1193,1226
1821,1226
1683,1226
109,2770
2817,356
338,356
2670,356
3099,356
1014,356
2990,356
863,1858
1903,551
1808,551
1945,1735
1778,2820
630,1360
2794,1360
1405,1360
737,1360
2780,1360
1753,788
1152,788
2209,2643
850,540
1092,1972
648,1428
3079,425
1318,2215
2272,2215
2230,604
1485,512
2003,512
994,512
409,512
1176,512
515,512
780,1129
403,1129
2182,1129
2197,757
2980,757
2901,643
1318,382
966,2281
1308,1134
1804,1134
976,1134
1167,1134
263,1134
2556,1134
3139,1134
1670,2385
368,2889
2055,2889
888,2889
526,2889
878,2889
2176,2889
988,2889
1159,2889
3035,2393
2316,690
2107,690
2906,690
919,690
2096,2100
888,2100
1601,2100
2918,2100
2461,2100
1821,2100
2947,2100
1823,2100
2808,2100
2676,2100
2033,2100
1478,2100
3115,2100
809,2100
1847,3035
1255,1200
1628,845
1064,1255
3142,1255
409,2418
371,2418
3098,2418
1294,2418
1108,2418
1884,2418
157,1964
2087,1964
3147,1964
749,1964
1130,1964
3110,1964
1199,2824
1051,2285
38,2285
100,2285
1894,791
3123,791
1821,3101
2514,1962
1111,1587
2931,1587
754,1667
965,1667
886,1667
1771,1667
2981,1667
3151,1667
2120,1667
2822,1591
1755,1591
2957,1591
2178,1591
1108,1591
2631,1591
3033,1591
146,1620
2262,3055
1318,44
1946,3032
1334,3032
228,341
2488,341
72,341
2509,341
2455,2477
3095,1339
3004,2475
2335,2475
2774,2475
323,2475
1357,2475
1577,2475
2631,2475
548,850
1319,2090
1671,1082
2452,1082
978,2635
2576,1158
1232,1158
185,1158
1829,1158
2944,1158
567,1158
2801,2218
61,1537
1866,3009
1184,2022
2219,2022
1178,1831
859,3058
167,3058
2764,3058
2871,3058
2724,3058
1846,3058
2269,3058
747,3058
2067,3058
2935,874
3100,874
329,145
622,1617
1192,1617
343,2998
674,2815
1840,2815
501,1381
1701,1182
907,1919
862,1919
105,908
2772,908
663,1677
2154,1677
1230,228
72,228
6,228
1671,2574
2452,2574
30,83
1699,181
1006,178
2832,178
764,178
2592,2208
2175,1979
2738,1998
1167,1308
1470,3039
1541,302
2793,302
1525,302
507,2705
848,2705
2610,2705
865,2705
124,2705
2471,2705
2433,2705
3062,687
923,687
2261,2653
894,1535
17,1535
10,2368
440,510
2499,510
2500,510
1907,510
2485,3105
1072,3105
744,724
2728,724
2245,1927
1437,1927
2344,1927
2271,1927
2509,1927
331,1927
292,1927
125,1927
2476,1927
2822,2716
1021,2716
1108,2716
274,1443
282,62
2712,62
517,621
3185,621
1274,2302
1287,327
1171,327
3098,327
786,327
140,1483
721,1445
645,75
1224,416
877,416
731,416
466,1511
2446,2694
156,2694
2381,2163
1492,2094
1573,287
2955,424
2301,424
672,424
438,424
301,322
1804,2920
976,2920
347,2920
217,380
872,1833
1581,1822
1969,2148
1561,2568
507,630
848,630
2471,630
1453,930
1086,930
1012,320
2858,795
2465,1291
1658,1291
1523,2620
2095,1894
1757,2850
343,2850
2520,2268
1132,2636
751,1279
2676,1279
42,2135
3092,1852
1677,1852
449,2142
277,2142
1887,73
1709,73
1126,2847
2475,2847
2595,2847
2300,2847
147,2847
565,2847
2864,2847
1577,2847
2631,2847
1958,2847
992,945
1217,2080
763,2080
1612,2080
40,2080
1318,2594
1643,2594
2721,2594
2235,2594
948,2594
1520,2594
211,2594
2962,2594
241,1464
2679,1464
2646,1563
2707,1563
139,2922
2507,1373
1765,1571
1788,1571
833,1571
2165,89
1833,89
2744,56
2633,1843
836,1843
2371,1843
2864,1843
1796,1843
2226,1843
274,1843
3053,1843
1532,1843
866,1843
1471,2630
1711,1312
1027,1897
3087,1897
1825,1897
2433,508
2394,1704
301,815
702,815
2133,815
1478,815
2342,815
2765,815
2391,815
697,78
2355,78
1286,2547
2999,2547
3133,231
1272,231
1967,2919
1215,1564
1440,1564
3146,303
2182,303
2931,1111
878,2468
890,2468
174,1837
423,1057
3140,995
946,995
943,995
2072,995
960,995
3003,1189
418,821
1230,2488
72,2488
6,2488
2370,389
147,191
723,191
2210,191
1896,191
1871,191
576,2295
1934,610
2293,610
3093,1522
1288,1522
