ID,Description
0,Communication and commitment in multi-agent systems.
1,Data mining decomposition for industrial knowledge extraction.
2,Balancing exploration and exploitation in web crawling.
3,Middleware simplifies distributed system construction.
4,Flexible service provisioning with dynamic-agent infrastructure.
5,Hybrid robot architecture for environment navigation.
6,Optimal interval tree for interval management.
7,Power law distribution on Web revealed by PageRank.
8,Large multi-modal database for verification systems.
9,"Secure, portable, efficient mobile agent kernel."
10,Query optimization combining conventional and temporal methods.
11,Characterizing asphalt mixtures using fuzzy techniques.
12,Research in disaster rescue using multi-agent systems.
13,Virtual Information Towers for mobile information access.
14,Learning coordination in multi-agent systems.
15,Parallelism enhances OLAP query efficiency.
16,Base NP identification algorithm using treebank grammars.
17,Efficient categorization methods for multimodal video indexing.
18,Analyzing Web Access Patterns for Improvement.
19,Optimizing operator ordering in parallel databases.
20,Audio indexing system with speech recognition for web.
21,Accelerometer data analysis for context-aware applications.
22,Actor-critic algorithms for RL and NDP optimization.
23,Digital library interfaces and tools for users.
24,Semantics of programs in four-valued logics.
25,Comparison of Case-Based Learning algorithms.
26,Pattern approach for interdisciplinary interaction design collaboration.
27,Alternative communication method for ubiquitous systems.
28,Security requirements for multi-agent systems discussed.
29,Benchmarking XML query processing platforms for efficiency.
30,Efficient data flow management system.
31,Conflict resolution in distributed groupware systems.
32,Clustering techniques for finding work partners.
33,UCMs for feature description in systems modeling.
34,Managing user frustration in computer systems.
35,Notification service for digital libraries.
36,Framework for Open Video Test Collection.
37,Implementing teams of agents in robot soccer.
38,Validation and verification in software evaluation.
39,XML applications for web mining algorithms.
40,Minimize view sets for efficient query answering.
41,Group communication for mobile participants with location awareness.
42,Estimating MIDI document resemblance using search engine techniques.
43,Distinctive features for visual recognition.
44,XML path and type constraints interaction.
45,Analyzed migration of intelligence to network periphery.
46,Robustness of CIGAR with problem indexing strategies.
47,Adaptive algorithm for text information extraction.
48,Computer vision for virtual environment interface.
49,RoboCup champion software evolution.
50,Market-based regulation for mobile-agent systems.
51,Real-time human interaction recognition system.
52,Adaptive load sharing for efficient packet processing.
53,Efficient methods for approximate nearest neighbor queries.
54,Framework for spatiotemporal objects with geometric transformation.
55,Intelligent integration tool for heterogeneous sources.
56,Information-theoretic learning with nonparametric methods.
57,First-order polynomial theorem proving with Boolean polynomials.
58,Keyphrase extraction with supervised learning algorithms.
59,Contextual audio notifications for wearables.
60,MPEG-7 multimedia content description schemes and applications.
61,Agents in Internet with error tolerance.
62,Query translation for diverse information sources.
63,Fast SVM algorithm outperforms original method.
64,Analyze local learner with error correcting codes.
65,Schema evolution with reversible transformations in databases.
66,Dynamic near-field radio connection for wearables.
67,Interactive integrity constraint design tool.
68,ECA conveys routes with multimodal spatial intelligence.
69,Wireless interface for interactive dance performance.
70,Active collaboration in agent system for information gathering.
71,Logical transactions and serializability in information systems.
72,Indexing schemes for efficient moving point tracking.
73,Inference and learning in hybrid Bayesian networks.
74,Software platform for interactive distributed systems.
75,Optimizing modal logic for knowledge representation systems.
76,Gesture interface for human-robot interaction.
77,Enhancing data cleaning with user interaction.
78,High-level language for executable specification.
79,Handwriting in VR with Virtual Notepad.
80,Detecting traffic problems using ILP.
81,Modeling and simulating mobile agent systems.
82,Adaptive software with integrated learning.
83,Querying multidimensional databases with Active Data Repository.
84,Automated reasoning in KARO Agent Theory.
85,Automatic texture atlas generation method.
86,Adaptive routing using distributed mobile agents.
87,Automated music archive organization with SOM.
88,Enhancing text categorization for event tracking.
89,Enhancing inductive definition formalization.
90,Classifier comparison on error rate and speed.
91,Knowledge management on Semantic Web with RDF.
92,Visual context understanding with wearable cameras.
93,Genomic annotation using multi-agent system.
94,Fuzzy triggers for active databases with approximate reasoning.
95,Improving web search efficiency through online learning.
96,UML strengths and weaknesses for UI modeling.
97,Personality and emotions control animated agents.
98,Precision-performance tradeoff for aggregation.
99,Room metaphor aids groupware system transitions.
100,Validation toolkit for formal language learning algorithms.
101,Learning search-control heuristics for automated deduction.
102,Agent motion control in structured Internet environments.
103,Statistical pattern recognition challenges and overview.
104,Dynamic function placement for cluster computing.
105,Subsumption concept for XML relationships.
106,Coalition formation in electronic markets using physics model.
107,Benchmarking optimization software with COPS test set.
108,Tableau calculus for temporal description logic.
109,Plan recognition in human-computer collaboration.
110,Induction principle for unsupervised learning.
111,Robot coordination for large-scale assembly.
112,Control architecture for Internet auction servers.
113,Optimizing query execution in collaborative grid environments.
114,Semiotic model improves interface design communication.
115,Modeling emotions in synthetic agents for applications.
116,Biomedical information retrieval by web crawling agents.
117,Cloning mechanisms for load balancing in mobile computing.
118,Lixto wrapper generator features and example program.
119,Learning wrappers for semi-structured Web sources.
120,Dynamic hand gesture recognition with hierarchical scheme.
121,Remote reality browser for collaborative exploration.
122,Understanding formal constructs in wastewater treatment dynamics.
123,Monitor network logs for anomalous activity.
124,Web locality analysis for efficient search.
125,Importance of nearest neighbor queries in databases.
126,Active knowledge base system with rule support.
127,EWA learning in bilateral call markets.
128,CRISTAL project query facility development summary.
129,Multi-goal Q-learning with bi-linear function approximator.
130,Automating query modifications for better search results.
131,Temporal extension of ODMG object model.
132,Enhancing collaboration through ontological-based overhearing.
133,Improving label quality in self-organising maps.
134,Reinforcement learning for visual servoing on mobile robot.
135,Optimizing rule-based classifiers for accurate predictions.
136,Dynamic index structure for data warehouses.
137,Advantage of commonality-based selection in crossover.
138,Manage Active Spaces with standard mechanisms.
139,Heterogeneous database integration with agent-oriented information systems.
140,Database model for interactive systems architecture.
141,Exploring dark matter on the Web.
142,Learning theory for autonomous agents.
143,Qualitative spatial representation and reasoning techniques.
144,Optimization for complex designs using AI.
145,"Efficient, Easy-to-Implement Tabling Technique."
146,PMS for ATM Networks.
147,Algorithm for combining preferences in ranking.
148,Lineage tracing in data warehouse transformations.
149,Dynamic dependency relationships model with tree mixture.
150,Agent-based market infrastructure for web-based commerce.
151,Enhancing groupware usability evaluations with task analysis.
152,Framework for multimedia retrieval with user customization.
153,Estimation of spatial selectivity using partitioning methods.
154,Multimodal term extraction with RST and FCA.
155,Challenges in groupware calendar system design.
156,Propositional algorithms for information extraction.
157,Value approximation for factored MDPs with linear form.
158,Web-based ITS for high school teacher training.
159,Feature selection for web apps using ROC inflections.
160,Cooperative goal-satisfaction in automated-agent systems.
161,Intelligent integration of heterogeneous sources with schema knowledge.
162,Bitmap indices for high-cardinality attributes in HEP analysis.
163,Facial expression interpretation in human-computer interaction.
164,Detecting logical structure in diverse documents.
165,Information gathering agent for intelligent web search.
166,Real-time meta-search engine with adaptive learning.
167,Enhancing facial images in surveillance.
168,Comparison of Michigan classifier systems: GA vs. RL.
169,Trust model for secure mobile agent systems.
170,Enhancing scalability in multi-agent systems through adaptation.
171,Consensus methods for adaptive user interfaces.
172,Wearable spatial conferencing space with AR technology.
173,Software fault tree for IDS requirements analysis.
174,Semantic constraints for efficient database design.
175,Bargaining with Deadlines: Sequential Equilibrium Analysis.
176,Flattening object algebra for improved performance.
177,Implementing animal behavior models in robotic systems.
178,Enhanced Deductive Object-Oriented Database Language.
179,Neuro-fuzzy model for visual and force control.
180,User interface boosts social awareness online.
181,Compact 3D animation delivery for central node.
182,NLG enhances KDD insights summarization.
183,Modeling complex systems with combined logics.
184,Anycasting for web server selection based on experience.
185,Student web navigation advice multi-agent system.
186,Term weighting theory with exploratory data analysis.
187,Audio AR system for fantasy game with location-based sounds.
188,Rule induction for regional pronunciation variation.
189,Psychology of socially intelligent robots in development.
190,Automated text categorization based on document style.
191,Boosting methods enhance margins for effective voting.
192,Predicting heart disease using association rules.
193,Meta search engine with query routing algorithm.
194,Optimizing neural networks using global minimization methods.
195,Efficient deinterlacing with zonal-based algorithms.
196,Research infrastructure for user-system interaction.
197,Continuous Q-learning for nonlinear system control.
198,Hybrid coordination models in multiagent systems design.
199,Probabilistic pursuit-evasion games with multiple agents.
200,Collaborative browsing agent for group web browsing.
201,Typechecking for XML transformers using k-pebble transducers.
202,Biologically inspired system for autonomous rover control.
203,User adaptation in interface agency with multi-agent learning.
204,Specialized integrity checks and partial evaluation.
205,Neural folding architecture for tree automata.
206,Computational representations of Herbrand models in logic.
207,Integration of spatial information and image analysis.
208,Specialized web collection querying system.
209,Naive Bayes regression: Performance and limitations.
210,Agent implementation using Jini technology.
211,Rewriting queries using views in Description Logics.
212,Enhancing Genetic Algorithm-based Design Optimization with Parallelism.
213,Vision-based robot localization using CONDENSATION algorithm.
214,Intelligent agent framework for virtual reality.
215,Model-free policy iteration using least squares.
216,Benchmarking spatial index structures for performance evaluation.
217,Perceptual computing for adaptive Smart-Its.
218,Toronto XML Engine for data storage.
219,Logic-based AI architecture with subsumption approach.
220,Framework for testing recommender systems using ResearchIndex.
221,Mobile agents for data filtering on wireless networks.
222,LSI enhances retrieval with spectral analysis.
223,Logic language for concurrent agent architecture.
224,Survey of image retrieval techniques and future directions.
225,MLII algorithm enhances rule accuracy in machine learning.
226,Extension of logic programming paradigm.
227,Flexibility in decision-making with case-based reasoning.
228,Indexing schemes for moving points in plane.
229,Optimal optimization strategies using multi-layer methods.
230,Scalable trigger processing with memory-efficient index.
231,Agent-based modeling for holonic manufacturing systems.
232,Robust entropy estimation using kMST for data.
233,Java and CORBA for Internet Databases.
234,Improving network dependability with efficient routing.
235,Policy-based mobility control for software components.
236,Mobile user behavior analysis in location-based search.
237,Bayesian framework improves image retrieval with regions.
238,Database consistency verification for schema evolution.
239,Specify agent architectures using HEMASL.
240,Multiagent learning with variable learning rate.
241,Ubiquitous computing game with smart cards.
242,Query optimization for deterministic data model.
243,Comparison of EPs and EPSAs in drug docking.
244,Population information in evolving neural networks.
245,Organisational concepts for multi-agent system design.
246,Agent-based approach for floristic digital libraries.
247,Temporal aggregation with efficient PA-tree structure.
248,Business processing workflow modelling assessment.
249,Scalable P2P infrastructure for Semantic Web Services.
250,Mobile robot testing new navigation approaches.
251,Conflict resolution in collaborative negotiation strategies.
252,Integrating source and warehouse security for coherence.
253,Enhancing data consistency through localization in mobile databases.
254,Optimizing schema evolution sequences for database performance.
255,Web mining research survey with categorization.
256,Supports collaborative annotation work in digital libraries.
257,Fluid flow visualization tool with multiple modes.
258,WristCam enables finger movements for computer control.
259,Pruning methods for decision trees with costs.
260,State capture for mobile agents in Messengers.
261,3D earth visualization with speech and gestures.
262,Decidable fragments of first-order temporal logics.
263,Metasearch engine database selection for longer queries.
264,Incremental learning and reasoning for improved understanding.
265,Mapping Fuzzy Automata to RNNs.
266,Teamwork model and learning in RoboCup research.
267,Object localization and classification hardware/software system.
268,Flexible workflow management system meta-modeling approach.
269,SIDE Surfer: Web Interaction Development.
270,MetaSEEk: Image Meta-Search Engine.
271,Case-based learning with evidence grids.
