ID,Description
31336,Heuristic method filters incorrect pattern combinations.
1061127,Machine learning for medical follow-up study.
1106406,Reinforcement learning for dynamic channel allocation.
13195,Optimal actions in uncertain environments using MDP.
37879,Efficient variational methods for graphical models.
1126012,Real-time decision algorithms for influence diagrams.
1107140,Efficient problem solving through speedup learning.
1102850,Automaton-derived cost functions for optimal alignments.
31349,Protein family modeling with motif-based HMMs.
1106418,Comparison of mistake bounds in learning.
1123188,Fitting SS ANOVA models for exponential families.
1128990,Evolutionary approach for supervised learning problems.
109323,Estimating marginal likelihoods for Bayesian hypothesis testing.
217139,Optimizing learning methods to prevent degradation.
31353,Protein modeling using Hidden Markov Models.
32083,Initial weight impact on back-propagation convergence.
1126029,Active learning exploration.
1118017,Memory consolidation in brain explored through neural network.
49482,Explore correlation between topography and vision.
753265,Estimating error rates over classifiers with validation.
249858,Learning in hybrid noise environments using statistical queries.
1113739,Decision tree outperforms neural network.
48766,Advanced Othello strategies using evolutionary neural networks.
646195,MCMC applications in IRT with complexities.
1126050,Transfer impact on learning.
59626,Learning complexity bounds in statistical models.
340299,Neural network analysis for diverse applications.
354004,Bayesian priors selection techniques with bibliography.
242637,Algorithm enhances NARX neural network performance.
1106492,Incremental concept learning for accurate concept identification.
74975,Enhancing creativity in case-based design systems.
1152272,Probabilistic automata using Gibbs distributions and EM.
100701,Interactive design aided by memory-based techniques.
66982,Generative models learned using Up-Propagation Algorithm.
13960,Vision techniques to accelerate reinforcement learning.
13966,Algorithm-based teaching strategy for memory enhancement.
66990,Hierarchical generative model with sparse representations.
182093,Neuro-evolution enhances efficiency in complex tasks.
182094,Evolutionary robotics approaches for autonomous robots.
13972,Reinforcement learning structure discovery through SKILLS algorithm.
13982,On-line learning with linear loss constraints.
16819,MCMC convergence diagnostics and practical recommendations.
273152,Acquiring modules through evolutionary processes for development.
237521,Learning invariants for pattern recognition.
1153703,Advantages and improvements of instance-based learning.
32872,Optimal control for mobile-robot navigation.
284025,Reflective agents in Pandemonium neural networks.
218666,Implementation of Nested Generalized Exemplars Algorithm.
16843,Sampling method for multimodal distributions.
1153724,Adaptive training system for personalized chemistry tutoring.
1153728,Metacognitive regulation through introspection planning.
158098,Alternative Markov property for chain graphs.
8699,Theory revision method for fault hierarchies.
1134865,Distributed genetic algorithms for grid partitioning.
28456,Competitive game learning algorithms with analysis.
248425,Comparison of selection schemes in Genetic Algorithms.
1112319,Generalization error estimation using self-bounding algorithm.
28471,Study new framework for Markov decision processes.
175548,Neural networks with quadratic VC dimension.
696345,Self-adaptive neural networks for blind signal separation.
28485,Efficient learning algorithm for multiple task sequences.
1139195,Deductive synthesis for simulation and optimization.
35778,Context-specific independence in Bayesian networks.
28491,Comparison of conventional and replacing traces.
310530,Integrating creativity into reading process.
1153784,Font substitution error during document printing.
1481,Overview of case-based reasoning and systems.
1153786,Updates and counterfactuals in propositional knowledgebases.
13212,Discovering simple neural nets for generalization.
1111614,Tenor saxophone performance generation using cases.
5055,Boosting methods effectiveness through margin analysis.
4329,Supervised learning with incomplete data using EM.
330148,Hierarchical feature map system for script recognition.
1105062,Learning adaptive target detection through fovea trajectories.
4330,Hierarchical mixture model with EM algorithm.
5062,Memory model for case retrieval system.
4335,Justifying incremental and sparse EM algorithm variants.
158812,Explore synchronization properties of Wilson-Cowan oscillators.
40124,Probabilistic regression model implementation in BUGS.
1103610,Hierarchical decision tree ensemble for psychology.
688361,Neural network implementation in SAS for efficiency.
302545,Kyburg's Evidential Probability modification for statistics.
20534,Reinforcement learning enhances job-shop scheduling.
1031453,Neural network pole balancer for robots.
5086,Accounting for model uncertainty in GLMs.
193742,Efficient Q-Learning with Hidden-Unit Restarting.
58268,Fine-grain parallelism processing paradigm for efficiency.
424,Hybrid algorithm combining nearest-neighbor methods.
40151,Accelerating model selection with Hoeffding Races.
636098,NP-Completeness of FOCUS algorithm for feature set.
260121,Efficient unsupervised neural network algorithm.
950052,Learning semantic similarity of software components.
434,Learning mechanisms for intelligent systems.
1131270,Efficient Gibbs sampling for complex pedigrees.
1131274,Perfect simulation in stochastic geometry.
1131277,Detecting disease clusters using Bayesian approach.
1110947,Efficient rule induction for context-specific problem-solving.
662279,Improved weather forecasting through adaptive tuning.
1139928,Adversarial robotic environment planning and learning strategies.
153063,Bayesian forecasting of multinomial time series.
134199,Analyze GAFOs using Markov chain theory.
641956,Adaptive noise injection for input relevance.
20584,Comparison of decision tree algorithms for accuracy.
1130567,Neurocontrol with reinforcement learning for adaptation.
171225,Neural network with modifiable lateral connections.
714879,Transition to causation in knowledge-rich applications.
37998,Integrating logic programming techniques effectively.
50336,Bounding marginal probabilities in complex networks.
50337,Approximating probabilities in graphical models using recursion.
15429,Lower bound on examples for learning.
23448,Data exploration with Self-Organizing Maps efficiently.
1122574,Modeling temporal variability in dynamic signals.
1110998,Interpretable neural networks using BP-SOM.
853150,MLP and LVQ networks for pattern discrimination.
15431,Generalization of Sauer's Lemma in combinatorics.
646286,Approximating Gibbs sampler convergence using Gaussian approximation.
1152307,Advantages and improvements in instance-based learning.
1115291,Model-based cluster analysis for optimal determination.
1106547,Enhancing race car control system efficiency.
68463,Cost-sensitive feature reduction enhances hybrid learning.
59715,Enhancing evolution through diversity and causality.
69198,Efficient learning of extended sequences using compression.
7272,Visual cortex and tilt aftereffects study.
163235,Fast numerical integration for relaxation oscillator networks.
7276,Visual cortex model with self-organization and segmentation.
34315,Bayesian classification with Hybrid Monte Carlo.
644843,Perfect simulation of point processes for users.
7297,Visual cortex self-organization and dynamic modeling.
628815,Satellite attitude control with neural networks.
35061,Genetic algorithm with connectionist learning for networks.
68495,Learning Prolog clauses with errors efficiently.
1136310,EM algorithm for MAP estimation with examples.
18313,Adaptive robot control for planning.
34355,Incorporating prior knowledge in supervised learning.
45212,Gain-adaptation algorithms outperform classical methods.
1153091,Efficient windowing algorithm for rule learning.
8703,Automatic theory revision for classification systems.
126920,Efficient MCMC methods with auxiliary variables.
126927,Convergence analysis of perturbed Markov chains.
595157,Simulated annealing in genetic programming exploration.
140005,Improving learning algorithms through data omission.
1117476,Discovering functions in Genetic Programming through self-organization.
59798,Linear programming for breast cancer diagnosis.
219446,Musical meter perception through connectionist models.
44514,Physical systems' computational complexity.
287787,User-friendly workbench for genetic algorithm research.
157401,Neural network model for episodic memory.
1154500,Empirical learning in theory space search.
682666,Multiagent Q-learning for Nash equilibrium.
399173,Corporate memories for knowledge management benefits.
198866,Utilizing cognitive behavior knowledge for learning.
51834,Constructive induction for theory revision.
200630,Replicability challenges and proposed solutions in neural computing.
782486,Robot learning in structured environment using unsupervised neural network.
1136393,Data-driven synthesis of acoustical instruments.
137849,Model-based cluster analysis inference methods.
1153811,Algorithm integrating regression trees for predictions.
24966,Bayesian framework for learning in networks.
11148,Improving performance through choice and exploitation.
51866,Approach for revising domain theories with probabilities.
24974,Comparison of Gaussian processes for regression.
137868,Bayesian analysis of mixtures with MCMC.
28542,Policy Iteration in Actor-Critic learning systems.
35,Application-specific routines in genetic algorithms optimization.
116021,Active learning for improved generalization.
348305,Impact of predicated execution on branch prediction.
10430,Complementarity of rules and precedents.
39403,Auto-exploratory H-learning outperforms original H-learning.
40,Genetic algorithms controlled dynamically with fuzzy logic.
282700,Learning linear sparse codes for natural images.
1105116,Approximate probabilistic inference in networks.
35854,Characterizing learnability for classes of functions.
63477,Efficient feature selection in unsupervised clustering.
124064,Upper bound on loss in RL.
1120431,Learning paradigms for robust vision systems.
949318,Neural network for sequence classification.
649944,Knowledge integration for enhanced system performance.
63486,Evaluate biases in machine learning systems.
1153866,Learning decision trees from decision rules.
1140040,Smoothing regularizers improve neural network generalization errors.
1112426,Memory reduction in music variations and efficiency.
239800,Ensemble learning and statistical inference optimization.
1131314,Adaptive MCMC with theoretical self-regeneration.
1153891,Integrating conceptualization and analogical reasoning for design.
